customerid,tenure_group,contract,paymentmethod,monthlycharges,total_revenue,churn_flag,risk_level,value_segment,lifecycle_stage
3841-NFECX,4+ years,Two year,Credit card (automatic),96.35,6840.85,0,Low Risk,High Value,Loyal (4y+)
4929-XIHVW,0-1 year,Month-to-month,Credit card (automatic),95.5,191,0,Low Risk,Low Value,New (0-1y)
6827-IEAUQ,2-4 years,One year,Mailed check,66.15,1786.05,0,Low Risk,Mid Value,Mature (2-4y)
7310-EGVHZ,0-1 year,Month-to-month,Bank transfer (automatic),20.2,20.2,0,Low Risk,Low Value,New (0-1y)
3413-BMNZE,0-1 year,Month-to-month,Bank transfer (automatic),45.25,45.25,0,Low Risk,Low Value,New (0-1y)
6234-RAAPL,4+ years,Two year,Bank transfer (automatic),99.9,7192.8,0,Low Risk,High Value,Loyal (4y+)
6047-YHPVI,0-1 year,Month-to-month,Electronic check,69.7,348.5,1,High Risk,Low Value,New (0-1y)
6572-ADKRS,2-4 years,Month-to-month,Credit card (automatic),74.8,3440.8,0,Low Risk,High Value,Mature (2-4y)
5380-WJKOV,2-4 years,Month-to-month,Electronic check,106.35,3615.9,1,High Risk,High Value,Mature (2-4y)
8168-UQWWF,0-1 year,Month-to-month,Bank transfer (automatic),97.85,1076.35,1,High Risk,Mid Value,New (0-1y)
8865-TNMNX,0-1 year,One year,Mailed check,49.55,495.5,0,Low Risk,Low Value,New (0-1y)
9489-DEDVP,4+ years,Two year,Credit card (automatic),69.2,4844,0,Low Risk,High Value,Loyal (4y+)
9867-JCZSP,1-2 years,One year,Mailed check,20.75,352.75,0,Low Risk,Low Value,Growing (1-2y)
4671-VJLCL,4+ years,Two year,Credit card (automatic),79.85,5030.55,0,Low Risk,High Value,Loyal (4y+)
4080-IIARD,1-2 years,Month-to-month,Electronic check,76.2,990.6,0,Low Risk,Low Value,Growing (1-2y)
3714-NTNFO,4+ years,Month-to-month,Electronic check,84.5,4140.5,0,Low Risk,High Value,Loyal (4y+)
5948-UJZLF,0-1 year,Month-to-month,Mailed check,49.25,98.5,0,Low Risk,Low Value,New (0-1y)
7760-OYPDY,0-1 year,Month-to-month,Electronic check,80.65,161.3,1,High Risk,Low Value,New (0-1y)
7639-LIAYI,4+ years,Two year,Credit card (automatic),79.75,4147,0,Low Risk,High Value,Loyal (4y+)
2954-PIBKO,4+ years,Two year,Credit card (automatic),64.15,4426.35,0,Low Risk,High Value,Loyal (4y+)
8012-SOUDQ,2-4 years,Month-to-month,Electronic check,90.25,3880.75,0,Low Risk,High Value,Mature (2-4y)
9420-LOJKX,1-2 years,Month-to-month,Credit card (automatic),99.1,1486.5,1,High Risk,Mid Value,Growing (1-2y)
6575-SUVOI,2-4 years,Month-to-month,Credit card (automatic),69.5,1737.5,0,Low Risk,Mid Value,Mature (2-4y)
7495-OOKFY,0-1 year,Month-to-month,Credit card (automatic),80.65,645.2,1,High Risk,Low Value,New (0-1y)
4667-QONEA,4+ years,One year,Credit card (automatic),74.85,4491,0,Low Risk,High Value,Loyal (4y+)
1658-BYGOY,1-2 years,Month-to-month,Electronic check,95.45,1718.1,1,High Risk,Mid Value,Growing (1-2y)
8769-KKTPH,4+ years,One year,Credit card (automatic),99.65,6277.95,0,Low Risk,High Value,Loyal (4y+)
5067-XJQFU,4+ years,One year,Electronic check,108.45,7157.7,0,Low Risk,High Value,Loyal (4y+)
3957-SQXML,2-4 years,Two year,Credit card (automatic),24.95,848.3,0,Low Risk,Low Value,Mature (2-4y)
5954-BDFSG,4+ years,Two year,Credit card (automatic),107.5,7740,0,Low Risk,High Value,Loyal (4y+)
0434-CSFON,2-4 years,Month-to-month,Electronic check,100.5,4723.5,0,Low Risk,High Value,Mature (2-4y)
1215-FIGMP,4+ years,Month-to-month,Bank transfer (automatic),89.9,5394,0,Low Risk,High Value,Loyal (4y+)
0526-SXDJP,4+ years,Two year,Bank transfer (automatic),42.1,3031.2,0,Low Risk,High Value,Loyal (4y+)
0557-ASKVU,1-2 years,One year,Credit card (automatic),54.4,979.2,0,Low Risk,Low Value,Growing (1-2y)
5698-BQJOH,0-1 year,Month-to-month,Electronic check,94.4,849.6,1,High Risk,Low Value,New (0-1y)
5122-CYFXA,0-1 year,Month-to-month,Electronic check,75.3,225.9,0,Low Risk,Low Value,New (0-1y)
8627-ZYGSZ,2-4 years,One year,Electronic check,78.9,3708.3,0,Low Risk,High Value,Mature (2-4y)
3410-YOQBQ,2-4 years,Two year,Mailed check,79.2,2455.2,0,Low Risk,Mid Value,Mature (2-4y)
3170-NMYVV,4+ years,Two year,Bank transfer (automatic),20.15,1007.5,0,Low Risk,Mid Value,Loyal (4y+)
7410-OIEDU,0-1 year,Month-to-month,Mailed check,79.85,798.5,0,Low Risk,Low Value,New (0-1y)
2273-QCKXA,0-1 year,Month-to-month,Mailed check,49.05,49.05,0,Low Risk,Low Value,New (0-1y)
0731-EBJQB,4+ years,One year,Electronic check,20.4,1060.8,0,Low Risk,Mid Value,Loyal (4y+)
1891-QRQSA,4+ years,Two year,Bank transfer (automatic),111.6,7142.4,0,Low Risk,High Value,Loyal (4y+)
8028-PNXHQ,4+ years,Two year,Bank transfer (automatic),24.25,1503.5,0,Low Risk,Mid Value,Loyal (4y+)
5630-AHZIL,0-1 year,Month-to-month,Bank transfer (automatic),64.5,193.5,0,Low Risk,Low Value,New (0-1y)
2673-CXQEU,4+ years,One year,Electronic check,110.5,6188,0,Low Risk,High Value,Loyal (4y+)
6416-JNVRK,2-4 years,One year,Credit card (automatic),55.65,2559.9,0,Low Risk,Mid Value,Mature (2-4y)
5590-ZSKRV,0-1 year,Month-to-month,Mailed check,54.65,437.2,0,Low Risk,Low Value,New (0-1y)
0191-ZHSKZ,2-4 years,Month-to-month,Electronic check,74.75,2242.5,0,Low Risk,Mid Value,Mature (2-4y)
3887-PBQAO,2-4 years,One year,Credit card (automatic),25.9,1165.5,0,Low Risk,Mid Value,Mature (2-4y)
5919-TMRGD,0-1 year,Month-to-month,Electronic check,79.35,79.35,1,High Risk,Low Value,New (0-1y)
8108-UXRQN,0-1 year,Month-to-month,Electronic check,50.55,556.05,0,Low Risk,Low Value,New (0-1y)
9191-MYQKX,0-1 year,Month-to-month,Bank transfer (automatic),75.15,526.05,1,High Risk,Low Value,New (0-1y)
9919-YLNNG,2-4 years,Month-to-month,Bank transfer (automatic),103.8,4359.6,0,Low Risk,High Value,Mature (2-4y)
0318-ZOPWS,4+ years,Two year,Bank transfer (automatic),20.15,987.35,0,Low Risk,Low Value,Loyal (4y+)
4445-ZJNMU,0-1 year,Month-to-month,Credit card (automatic),99.3,893.7,0,Low Risk,Low Value,New (0-1y)
4808-YNLEU,2-4 years,One year,Bank transfer (automatic),62.15,2175.25,0,Low Risk,Mid Value,Mature (2-4y)
1862-QRWPE,2-4 years,Two year,Bank transfer (automatic),20.65,991.2,0,Low Risk,Low Value,Mature (2-4y)
2796-NNUFI,2-4 years,Two year,Mailed check,19.95,917.7,0,Low Risk,Low Value,Mature (2-4y)
3016-KSVCP,2-4 years,Month-to-month,Mailed check,33.75,978.75,0,Low Risk,Low Value,Mature (2-4y)
4767-HZZHQ,2-4 years,Month-to-month,Bank transfer (automatic),82.05,2461.5,0,Low Risk,Mid Value,Mature (2-4y)
2424-WVHPL,0-1 year,Month-to-month,Electronic check,74.7,74.7,0,Low Risk,Low Value,New (0-1y)
7233-PAHHL,4+ years,Two year,Mailed check,84,5544,0,Low Risk,High Value,Loyal (4y+)
6067-NGCEU,4+ years,Month-to-month,Credit card (automatic),111.05,7218.25,0,Low Risk,High Value,Loyal (4y+)
9848-JQJTX,4+ years,Two year,Bank transfer (automatic),100.9,7264.8,0,Low Risk,High Value,Loyal (4y+)
8637-XJIVR,0-1 year,Month-to-month,Electronic check,78.95,947.4,1,High Risk,Low Value,New (0-1y)
9803-FTJCG,4+ years,One year,Credit card (automatic),66.85,4746.35,0,Low Risk,High Value,Loyal (4y+)
0278-YXOOG,0-1 year,Month-to-month,Mailed check,21.05,105.25,1,High Risk,Low Value,New (0-1y)
3212-KXOCR,4+ years,Two year,Bank transfer (automatic),21,1092,0,Low Risk,Mid Value,Loyal (4y+)
4598-XLKNJ,2-4 years,Month-to-month,Electronic check,98.5,2462.5,1,High Risk,Mid Value,Mature (2-4y)
6380-ARCEH,0-1 year,Month-to-month,Mailed check,20.2,20.2,0,Low Risk,Low Value,New (0-1y)
3679-XASPY,0-1 year,Month-to-month,Electronic check,19.45,19.45,0,Low Risk,Low Value,New (0-1y)
7123-WQUHX,2-4 years,One year,Bank transfer (automatic),95,3610,0,Low Risk,High Value,Mature (2-4y)
5386-THSLQ,4+ years,One year,Bank transfer (automatic),45.55,3006.3,0,Low Risk,High Value,Loyal (4y+)
3192-NQECA,4+ years,Two year,Bank transfer (automatic),110,7480,1,High Risk,High Value,Loyal (4y+)
6180-YBIQI,0-1 year,Month-to-month,Mailed check,24.3,121.5,0,Low Risk,Low Value,New (0-1y)
6728-DKUCO,4+ years,One year,Electronic check,104.15,7498.8,0,Low Risk,High Value,Loyal (4y+)
9750-BOOHV,2-4 years,One year,Mailed check,30.15,964.8,0,Low Risk,Low Value,Mature (2-4y)
8597-CWYHH,2-4 years,One year,Mailed check,94.35,4057.05,0,Low Risk,High Value,Mature (2-4y)
2848-YXSMW,4+ years,Two year,Credit card (automatic),19.4,1396.8,0,Low Risk,Mid Value,Loyal (4y+)
0486-HECZI,4+ years,Month-to-month,Electronic check,96.75,5321.25,1,High Risk,High Value,Loyal (4y+)
4549-ZDQYY,4+ years,One year,Credit card (automatic),57.95,3013.4,0,Low Risk,High Value,Loyal (4y+)
5712-AHQNN,2-4 years,Month-to-month,Electronic check,91.65,3940.95,0,Low Risk,High Value,Mature (2-4y)
4846-WHAFZ,2-4 years,Month-to-month,Electronic check,76.5,2830.5,1,High Risk,Mid Value,Mature (2-4y)
5256-SKJGO,4+ years,Two year,Electronic check,54.6,3494.4,0,Low Risk,High Value,Loyal (4y+)
3071-VBYPO,0-1 year,Month-to-month,Electronic check,89.85,269.55,0,Low Risk,Low Value,New (0-1y)
9560-BBZXK,2-4 years,Two year,Bank transfer (automatic),31.05,1117.8,0,Low Risk,Mid Value,Mature (2-4y)
5299-RULOA,0-1 year,Month-to-month,Electronic check,100.25,1002.5,1,High Risk,Mid Value,New (0-1y)
8402-OOOHJ,2-4 years,Two year,Mailed check,20.65,846.65,0,Low Risk,Low Value,Mature (2-4y)
9445-ZUEQE,2-4 years,Month-to-month,Credit card (automatic),85.2,2300.4,0,Low Risk,Mid Value,Mature (2-4y)
1091-SOZGA,4+ years,One year,Credit card (automatic),99.8,5588.8,0,Low Risk,High Value,Loyal (4y+)
2928-HLDBA,0-1 year,Month-to-month,Mailed check,20.7,124.2,0,Low Risk,Low Value,New (0-1y)
0404-SWRVG,0-1 year,Month-to-month,Electronic check,74.4,223.2,1,High Risk,Low Value,New (0-1y)
6497-TILVL,0-1 year,Month-to-month,Mailed check,50.7,354.9,0,Low Risk,Low Value,New (0-1y)
7219-TLZHO,0-1 year,Month-to-month,Mailed check,20.85,83.4,0,Low Risk,Low Value,New (0-1y)
4622-YNKIJ,2-4 years,Two year,Electronic check,88.95,2935.35,0,Low Risk,Mid Value,Mature (2-4y)
4412-YLTKF,2-4 years,Month-to-month,Electronic check,78.05,2107.35,1,High Risk,Mid Value,Mature (2-4y)
6734-PSBAW,4+ years,Two year,Bank transfer (automatic),23.55,1695.6,0,Low Risk,Mid Value,Loyal (4y+)
3930-ZGWVE,0-1 year,Month-to-month,Mailed check,19.75,19.75,0,Low Risk,Low Value,New (0-1y)
2639-UGMAZ,4+ years,One year,Electronic check,56.45,4007.95,0,Low Risk,High Value,Loyal (4y+)
2876-GZYZC,1-2 years,Month-to-month,Electronic check,85.95,1117.35,0,Low Risk,Mid Value,Growing (1-2y)
6207-WIOLX,2-4 years,Month-to-month,Credit card (automatic),58.6,1465,1,High Risk,Mid Value,Mature (2-4y)
8587-XYZSF,4+ years,Two year,Bank transfer (automatic),50.55,3386.85,0,Low Risk,High Value,Loyal (4y+)
3091-FYHKI,0-1 year,Month-to-month,Electronic check,35.45,35.45,1,High Risk,Low Value,New (0-1y)
2372-HWUHI,0-1 year,Month-to-month,Electronic check,44.35,88.7,1,High Risk,Low Value,New (0-1y)
7799-LGRDP,2-4 years,Two year,Credit card (automatic),25.7,1105.1,0,Low Risk,Mid Value,Mature (2-4y)
7850-VWJUU,1-2 years,Month-to-month,Bank transfer (automatic),75,1725,0,Low Risk,Mid Value,Growing (1-2y)
3774-VBNXY,4+ years,Two year,Mailed check,20.2,1292.8,0,Low Risk,Mid Value,Loyal (4y+)
6217-KDYWC,4+ years,Two year,Mailed check,19.6,1117.2,0,Low Risk,Mid Value,Loyal (4y+)
0390-DCFDQ,0-1 year,Month-to-month,Mailed check,70.45,70.45,1,High Risk,Low Value,New (0-1y)
3146-MSEGF,4+ years,Two year,Credit card (automatic),88.05,6339.6,0,Low Risk,High Value,Loyal (4y+)
4080-OGPJL,0-1 year,Month-to-month,Electronic check,71.15,569.2,1,High Risk,Low Value,New (0-1y)
1095-WGNGG,4+ years,Two year,Bank transfer (automatic),101.05,6164.05,0,Low Risk,High Value,Loyal (4y+)
2636-SJDOU,4+ years,One year,Credit card (automatic),84.3,5395.2,0,Low Risk,High Value,Loyal (4y+)
1131-QQZEB,4+ years,Two year,Bank transfer (automatic),23.95,1700.45,0,Low Risk,Mid Value,Loyal (4y+)
5716-EZXZN,4+ years,Two year,Credit card (automatic),99.05,6438.25,0,Low Risk,High Value,Loyal (4y+)
6837-BJYDQ,0-1 year,One year,Mailed check,19.6,58.8,0,Low Risk,Low Value,New (0-1y)
2135-RXIHG,0-1 year,Month-to-month,Electronic check,45.65,45.65,1,High Risk,Low Value,New (0-1y)
6440-DKQGE,2-4 years,One year,Credit card (automatic),64.5,1935,0,Low Risk,Mid Value,Mature (2-4y)
3466-BYAVD,1-2 years,Month-to-month,Mailed check,69.5,1042.5,0,Low Risk,Mid Value,Growing (1-2y)
3780-YVMFA,0-1 year,Month-to-month,Electronic check,68.55,548.4,0,Low Risk,Low Value,New (0-1y)
3874-EQOEP,0-1 year,Month-to-month,Mailed check,95,665,1,High Risk,Low Value,New (0-1y)
1679-JRFBR,4+ years,One year,Credit card (automatic),108.15,7570.5,0,Low Risk,High Value,Loyal (4y+)
9073-ZZIAY,4+ years,Two year,Electronic check,86.1,5338.2,0,Low Risk,High Value,Loyal (4y+)
3077-RSNTJ,0-1 year,Month-to-month,Mailed check,19.7,118.2,0,Low Risk,Low Value,New (0-1y)
6551-GNYDG,1-2 years,Month-to-month,Bank transfer (automatic),80.9,1132.6,0,Low Risk,Mid Value,Growing (1-2y)
9167-APMXZ,1-2 years,Month-to-month,Bank transfer (automatic),84.15,1851.3,0,Low Risk,Mid Value,Growing (1-2y)
2749-CTKAJ,1-2 years,One year,Mailed check,20.15,443.3,0,Low Risk,Low Value,Growing (1-2y)
6371-NZYEG,1-2 years,Two year,Mailed check,64.25,1028,0,Low Risk,Mid Value,Growing (1-2y)
7554-NEWDD,0-1 year,Two year,Bank transfer (automatic),25.7,257,0,Low Risk,Low Value,New (0-1y)
8992-VONJD,1-2 years,Month-to-month,Electronic check,56,728,0,Low Risk,Low Value,Growing (1-2y)
0867-MKZVY,1-2 years,Month-to-month,Electronic check,82.4,1648,1,High Risk,Mid Value,Growing (1-2y)
4482-EWFMI,0-1 year,Month-to-month,Electronic check,69.7,139.4,0,Low Risk,Low Value,New (0-1y)
4648-YPBTM,4+ years,Two year,Bank transfer (automatic),73.9,3916.7,0,Low Risk,High Value,Loyal (4y+)
2907-ILJBN,0-1 year,One year,Mailed check,20.6,226.6,0,Low Risk,Low Value,New (0-1y)
6345-FZOQH,4+ years,Two year,Mailed check,19.9,1373.1,0,Low Risk,Mid Value,Loyal (4y+)
3376-BMGFE,0-1 year,Month-to-month,Bank transfer (automatic),70.9,283.6,1,High Risk,Low Value,New (0-1y)
5997-OPVFA,4+ years,Two year,Bank transfer (automatic),89.05,6411.6,0,Low Risk,High Value,Loyal (4y+)
3445-HXXGF,4+ years,Month-to-month,Electronic check,45.3,2627.4,1,High Risk,Mid Value,Loyal (4y+)
1159-WFSGR,1-2 years,Month-to-month,Electronic check,20.4,326.4,0,Low Risk,Low Value,Growing (1-2y)
7654-YWJUF,2-4 years,One year,Bank transfer (automatic),84.25,3622.75,0,Low Risk,High Value,Mature (2-4y)
1875-QIVME,0-1 year,Month-to-month,Electronic check,104.4,208.8,1,High Risk,Low Value,New (0-1y)
6727-IOTLZ,1-2 years,Two year,Mailed check,81.95,1147.3,0,Low Risk,Mid Value,Growing (1-2y)
0691-JVSYA,4+ years,One year,Bank transfer (automatic),94.85,5027.05,1,High Risk,High Value,Loyal (4y+)
5918-VUKWP,2-4 years,One year,Bank transfer (automatic),20.55,657.6,0,Low Risk,Low Value,Mature (2-4y)
1744-JHKYS,2-4 years,Month-to-month,Electronic check,24.7,839.8,0,Low Risk,Low Value,Mature (2-4y)
2656-FMOKZ,1-2 years,Month-to-month,Mailed check,74.45,1116.75,1,High Risk,Mid Value,Growing (1-2y)
2070-FNEXE,0-1 year,Month-to-month,Bank transfer (automatic),76.45,535.15,1,High Risk,Low Value,New (0-1y)
2430-RRYUW,4+ years,One year,Mailed check,54.8,3616.8,0,Low Risk,High Value,Loyal (4y+)
5947-SGKCL,1-2 years,Month-to-month,Bank transfer (automatic),105.35,1580.25,0,Low Risk,Mid Value,Growing (1-2y)
3712-PKXZA,4+ years,One year,Credit card (automatic),20.55,1253.55,0,Low Risk,Mid Value,Loyal (4y+)
6317-YPKDH,0-1 year,Month-to-month,Bank transfer (automatic),29.95,29.95,1,High Risk,Low Value,New (0-1y)
6582-OIVSP,0-1 year,Month-to-month,Mailed check,45.3,45.3,0,Low Risk,Low Value,New (0-1y)
9367-WXLCH,0-1 year,Month-to-month,Bank transfer (automatic),84.5,676,1,High Risk,Low Value,New (0-1y)
5524-KHNJP,2-4 years,One year,Credit card (automatic),74.75,2466.75,0,Low Risk,Mid Value,Mature (2-4y)
1918-ZBFQJ,1-2 years,Month-to-month,Electronic check,79.25,1030.25,1,High Risk,Mid Value,Growing (1-2y)
1024-GUALD,0-1 year,Month-to-month,Electronic check,24.8,24.8,1,High Risk,Low Value,New (0-1y)
4827-USJHP,1-2 years,Month-to-month,Mailed check,51.8,1036,0,Low Risk,Mid Value,Growing (1-2y)
8167-GJLRN,0-1 year,Month-to-month,Electronic check,30.4,91.2,0,Low Risk,Low Value,New (0-1y)
0956-SYCWG,1-2 years,One year,Electronic check,19.65,255.45,0,Low Risk,Low Value,Growing (1-2y)
8017-UVSZU,2-4 years,Month-to-month,Credit card (automatic),56.6,2264,0,Low Risk,Mid Value,Mature (2-4y)
7100-FQPRV,2-4 years,One year,Credit card (automatic),71.9,3091.7,0,Low Risk,High Value,Mature (2-4y)
2472-OVKUP,0-1 year,Month-to-month,Electronic check,91,546,1,High Risk,Low Value,New (0-1y)
2984-RGEYA,4+ years,Two year,Bank transfer (automatic),19.75,1362.75,0,Low Risk,Mid Value,Loyal (4y+)
9680-NIAUV,4+ years,Two year,Credit card (automatic),109.7,7898.4,0,Low Risk,High Value,Loyal (4y+)
2146-EGVDT,4+ years,Two year,Credit card (automatic),19.3,1138.7,0,Low Risk,Mid Value,Loyal (4y+)
2604-IJPDU,1-2 years,Month-to-month,Electronic check,96.55,1931,0,Low Risk,Mid Value,Growing (1-2y)
9178-JHUVJ,1-2 years,Two year,Bank transfer (automatic),24.1,578.4,0,Low Risk,Low Value,Growing (1-2y)
6168-YBYNP,4+ years,Month-to-month,Electronic check,111.35,6569.65,0,Low Risk,High Value,Loyal (4y+)
7255-SSFBC,4+ years,Two year,Bank transfer (automatic),112.25,8082,0,Low Risk,High Value,Loyal (4y+)
3645-DEYGF,0-1 year,Month-to-month,Mailed check,20.75,20.75,0,Low Risk,Low Value,New (0-1y)
9323-HGFWY,2-4 years,One year,Credit card (automatic),101.9,2751.3,0,Low Risk,Mid Value,Mature (2-4y)
8544-GOQSH,1-2 years,Month-to-month,Credit card (automatic),80.05,1120.7,0,Low Risk,Mid Value,Growing (1-2y)
3363-DTIVD,4+ years,Two year,Electronic check,105.55,7494.05,0,Low Risk,High Value,Loyal (4y+)
7018-WBJNK,1-2 years,Month-to-month,Credit card (automatic),78.3,1017.9,0,Low Risk,Mid Value,Growing (1-2y)
9142-KZXOP,2-4 years,Month-to-month,Credit card (automatic),68.85,3029.4,0,Low Risk,High Value,Mature (2-4y)
7674-YTAFD,2-4 years,One year,Bank transfer (automatic),79.95,2638.35,0,Low Risk,Mid Value,Mature (2-4y)
6348-SNFUS,4+ years,Two year,Credit card (automatic),55.45,3992.4,0,Low Risk,High Value,Loyal (4y+)
1285-OKIPP,0-1 year,Month-to-month,Electronic check,79.9,79.9,1,High Risk,Low Value,New (0-1y)
7825-ECJRF,1-2 years,Month-to-month,Electronic check,106.6,2025.4,1,High Risk,Mid Value,Growing (1-2y)
1347-KTTTA,4+ years,One year,Credit card (automatic),102.45,6556.8,0,Low Risk,High Value,Loyal (4y+)
7841-TZDMQ,0-1 year,Month-to-month,Credit card (automatic),46,92,1,High Risk,Low Value,New (0-1y)
4195-NZGTA,0-1 year,Month-to-month,Electronic check,25.25,25.25,0,Low Risk,Low Value,New (0-1y)
7157-SMCFK,4+ years,Two year,Mailed check,19.75,1204.75,0,Low Risk,Mid Value,Loyal (4y+)
4709-LKHYG,2-4 years,One year,Electronic check,20,580,0,Low Risk,Low Value,Mature (2-4y)
2504-DSHIH,1-2 years,Month-to-month,Electronic check,86.8,1996.4,0,Low Risk,Mid Value,Growing (1-2y)
0699-NDKJM,4+ years,Month-to-month,Bank transfer (automatic),58.75,3348.75,0,Low Risk,High Value,Loyal (4y+)
9286-BHDQG,4+ years,Two year,Credit card (automatic),45.25,3258,0,Low Risk,High Value,Loyal (4y+)
0230-WEQUW,4+ years,Two year,Bank transfer (automatic),56.6,3735.6,0,Low Risk,High Value,Loyal (4y+)
2040-LDIWQ,4+ years,Two year,Bank transfer (automatic),84.2,5473,0,Low Risk,High Value,Loyal (4y+)
6496-JDSSB,0-1 year,Month-to-month,Bank transfer (automatic),80,640,0,Low Risk,Low Value,New (0-1y)
9408-SSNVZ,0-1 year,Month-to-month,Electronic check,70.15,280.6,1,High Risk,Low Value,New (0-1y)
4443-EMBNA,4+ years,Two year,Bank transfer (automatic),24.75,1757.25,0,Low Risk,Mid Value,Loyal (4y+)
6469-MRVET,0-1 year,One year,Electronic check,20.2,20.2,0,Low Risk,Low Value,New (0-1y)
0742-MOABM,0-1 year,Month-to-month,Mailed check,50.05,200.2,1,High Risk,Low Value,New (0-1y)
5961-VUSRV,0-1 year,One year,Bank transfer (automatic),19.35,232.2,0,Low Risk,Low Value,New (0-1y)
6778-JFCMK,1-2 years,One year,Mailed check,50.6,1214.4,0,Low Risk,Mid Value,Growing (1-2y)
6341-JVQGF,2-4 years,One year,Mailed check,81.15,2515.65,0,Low Risk,Mid Value,Mature (2-4y)
2232-DMLXU,0-1 year,Month-to-month,Mailed check,55.2,55.2,1,High Risk,Low Value,New (0-1y)
4811-JBUVU,2-4 years,Month-to-month,Credit card (automatic),89.9,2697,0,Low Risk,Mid Value,Mature (2-4y)
0945-TSONX,2-4 years,Two year,Credit card (automatic),85.3,4009.1,0,Low Risk,High Value,Mature (2-4y)
2651-ZCBXV,4+ years,Two year,Credit card (automatic),108,5832,0,Low Risk,High Value,Loyal (4y+)
3316-UWXUY,4+ years,Month-to-month,Credit card (automatic),93.5,4675,0,Low Risk,High Value,Loyal (4y+)
8937-RDTHP,0-1 year,Month-to-month,Mailed check,84.6,84.6,1,High Risk,Low Value,New (0-1y)
7083-MIOPC,4+ years,Two year,Credit card (automatic),20.25,1458,0,Low Risk,Mid Value,Loyal (4y+)
1984-GPTEH,2-4 years,Month-to-month,Electronic check,25.15,729.35,0,Low Risk,Low Value,Mature (2-4y)
1251-KRREG,0-1 year,Month-to-month,Mailed check,54.4,108.8,1,High Risk,Low Value,New (0-1y)
0621-JFHOL,0-1 year,Two year,Mailed check,29.6,296,0,Low Risk,Low Value,New (0-1y)
